Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option 1 Name,Option 1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
chenung,Chenung,<p><strong>Book Title:</strong> Chenung</p><p><strong>Urdu Title:</strong> چننگ</p><p><strong>Author:</strong> Farrukh Yar</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Farrukh Yar,,Books,Punjabi Books,true,Title,Default Title,KW-FAR-0021,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/6a369b4e4475d1781963598.jpg,1,Chenung,false,,,,,g,,,,,active
maktab-e-ishq,Maktab e Ishq,<p><strong>Book Title:</strong> Maktab e Ishq</p><p><strong>Urdu Title:</strong> مکتب عشق</p><p><strong>Author:</strong> Syed Shabbir Ahmed</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Syed Shabbir Ahmed,,Books,Punjabi Books,true,Title,Default Title,KW-SYE-0022,400,shopify,100,deny,manual,1250,1550,true,false,,https://media.bookcorner.shop/uploads/63c6903fda6c91673957439.jpg,1,Maktab e Ishq,false,,,,,g,,,,,active
punjab-punjabi-aur-punjabiyat,"Punjab, Punjabi aur Punjabiyat","<p><strong>Book Title:</strong> Punjab, Punjabi aur Punjabiyat</p><p><strong>Urdu Title:</strong> پنجاب پنجابی اور پنجابیت</p><p><strong>Author:</strong> Khushwant Singh</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>",Khushwant Singh,,Books,Punjabi Books,true,Title,Default Title,KW-KHU-0023,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/5e64abbc6f5741583655868.jpg,1,"Punjab, Punjabi aur Punjabiyat",false,,,,,g,,,,,active
mela-akhiyanda,Mela Akhiyan Da,<p><strong>Book Title:</strong> Mela Akhiyan Da</p><p><strong>Urdu Title:</strong> میلہ اکھیاں دا</p><p><strong>Author:</strong> Anwar Masood</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Anwar Masood,,Books,Punjabi Books,true,Title,Default Title,KW-ANW-0024,400,shopify,100,deny,manual,500,600,true,false,,https://media.bookcorner.shop/uploads/5fd75c70c50dd1607949424.jpg,1,Mela Akhiyan Da,false,,,,,g,,,,,active
dictionary-punjabi,Pilac Dictionary (Punjabi tu Punjabi) 7 Vol Complete Set,<p><strong>Book Title:</strong> Pilac Dictionary (Punjabi tu Punjabi) 7 Vol Complete Set</p><p><strong>Urdu Title:</strong> پلاک ڈکشنری (پنجابی توں پنجابی) 7 جلدیں مکمل سیٹ</p><p><strong>Author:</strong> Unknown Author</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Unknown Author,,Books,Punjabi Books,true,Title,Default Title,KW-UNK-0025,400,shopify,100,deny,manual,12000,15000,true,false,,https://media.bookcorner.shop/uploads/5fabfabce862e1605106364.jpg,1,Pilac Dictionary (Punjabi tu Punjabi) 7 Vol Complete Set,false,,,,,g,,,,,active
kalam-pir-fazal-gujrati,Kalam Pir Fazal Gujrati,<p><strong>Book Title:</strong> Kalam Pir Fazal Gujrati</p><p><strong>Urdu Title:</strong> کلام پیر فضل گجراتی</p><p><strong>Author:</strong> Prof. Dr. Nabila Rehman</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Prof. Dr. Nabila Rehman,,Books,Punjabi Books,true,Title,Default Title,KW-PRO-0026,400,shopify,100,deny,manual,1800,2250,true,false,,https://media.bookcorner.shop/uploads/5fbf66d97c7311606379225.jpg,1,Kalam Pir Fazal Gujrati,false,,,,,g,,,,,active
kulyat-shiv-kumar-batalvi-1,Kulyat Shiv Kumar Batalvi,<p><strong>Book Title:</strong> Kulyat Shiv Kumar Batalvi</p><p><strong>Urdu Title:</strong> کلیات شو کمار بٹالوی</p><p><strong>Author:</strong> Shiv Kumar Batalvi</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Shiv Kumar Batalvi,,Books,Punjabi Books,true,Title,Default Title,KW-SHI-0027,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/5f1bcec5beba81595657925.jpg,1,Kulyat Shiv Kumar Batalvi,false,,,,,g,,,,,active
kul-kalam,Kul Kalam,<p><strong>Book Title:</strong> Kul Kalam</p><p><strong>Urdu Title:</strong> کل کلام</p><p><strong>Author:</strong> Munir Niazi</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Munir Niazi,,Books,Punjabi Books,true,Title,Default Title,KW-MUN-0028,400,shopify,100,deny,manual,700,900,true,false,,https://media.bookcorner.shop/uploads/680e38363f61d1745762358.jpg,1,Kul Kalam,false,,,,,g,,,,,active
kaghaz-tay-canvas,Kaghaz Tay Canvas,<p><strong>Book Title:</strong> Kaghaz Tay Canvas</p><p><strong>Urdu Title:</strong> کاغذ تے کینوس</p><p><strong>Author:</strong> Amrita Pritam</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Amrita Pritam,,Books,Punjabi Books,true,Title,Default Title,KW-AMR-0029,400,shopify,100,deny,manual,1995,2500,true,false,,https://media.bookcorner.shop/uploads/5ff69b440db771609997124.jpg,1,Kaghaz Tay Canvas,false,,,,,g,,,,,active
daman-day-moti,Daman Day Moti,<p><strong>Book Title:</strong> Daman Day Moti</p><p><strong>Urdu Title:</strong> دامن دے موتی</p><p><strong>Author:</strong> Ustad Daman</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Ustad Daman,,Books,Punjabi Books,true,Title,Default Title,KW-UST-0030,400,shopify,100,deny,manual,795,1000,true,false,,https://media.bookcorner.shop/uploads/5f156b38c85bc1595239224.jpg,1,Daman Day Moti,false,,,,,g,,,,,active
baghawat-2,Baghawat (Darshan Singh Awara),<p><strong>Book Title:</strong> Baghawat (Darshan Singh Awara)</p><p><strong>Urdu Title:</strong> بغاوت</p><p><strong>Author:</strong> Darshan Singh Awara</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Darshan Singh Awara,,Books,Punjabi Books,true,Title,Default Title,KW-DAR-0031,400,shopify,100,deny,manual,260,300,true,false,,https://media.bookcorner.shop/uploads/6034c470500d81614070896.jpg,1,Baghawat (Darshan Singh Awara),false,,,,,g,,,,,active
sohni-mahinval,Sohni Mahinval,<p><strong>Book Title:</strong> Sohni Mahinval</p><p><strong>Urdu Title:</strong> سوہنی مہینوال منتخب کلام</p><p><strong>Author:</strong> Syed Fazal Shah Navankoti</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Syed Fazal Shah Navankoti,,Books,Punjabi Books,true,Title,Default Title,KW-SYE-0032,400,shopify,100,deny,manual,150,200,true,false,,https://media.bookcorner.shop/uploads/60c5c32c823e21623573292.jpg,1,Sohni Mahinval,false,,,,,g,,,,,active
allah-miyan-thallay-aa,Allah Miyan Thallay Aa,<p><strong>Book Title:</strong> Allah Miyan Thallay Aa</p><p><strong>Urdu Title:</strong> اللہ میاں تھلے آ</p><p><strong>Author:</strong> Sain Akhtar Lahori</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Sain Akhtar Lahori,,Books,Punjabi Books,true,Title,Default Title,KW-SAI-0033,400,shopify,100,deny,manual,495,600,true,false,,https://media.bookcorner.shop/uploads/5f156b565c8441595239254.jpg,1,Allah Miyan Thallay Aa,false,,,,,g,,,,,active
bhulleh-shah-muntakhab-kalam-urdu-tarjuma,Bhulleh Shah Muntakhab Kalam Urdu Tarjuma,<p><strong>Book Title:</strong> Bhulleh Shah Muntakhab Kalam Urdu Tarjuma</p><p><strong>Urdu Title:</strong> بلھے شاہ منتخب کلام مع اردو ترجمہ</p><p><strong>Author:</strong> Bulleh Shah</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Bulleh Shah,,Books,Punjabi Books,true,Title,Default Title,KW-BUL-0034,400,shopify,100,deny,manual,120,150,true,false,,https://media.bookcorner.shop/uploads/60c5ce44ae9e51623576132.jpg,1,Bhulleh Shah Muntakhab Kalam Urdu Tarjuma,false,,,,,g,,,,,active
punjabi-shayaron-ka-jadeed-tazkira,Punjabi Shayaron Ka Jadeed Tazkira,<p><strong>Book Title:</strong> Punjabi Shayaron Ka Jadeed Tazkira</p><p><strong>Urdu Title:</strong> پنجابی شاعروں کا جدید تذکرہ</p><p><strong>Author:</strong> Dr. Asif Riyaz e Qadeer</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Dr. Asif Riyaz e Qadeer,,Books,Punjabi Books,true,Title,Default Title,KW-DR.-0035,400,shopify,100,deny,manual,630,800,true,false,,https://media.bookcorner.shop/uploads/60c607febba321623590910.jpg,1,Punjabi Shayaron Ka Jadeed Tazkira,false,,,,,g,,,,,active
tere-nal-mohabbatan-kahdiyan,Tere Nal Mohabbatan Kahdiyan,<p><strong>Book Title:</strong> Tere Nal Mohabbatan Kahdiyan</p><p><strong>Urdu Title:</strong> ترے نال محبتاں کاہدیاں</p><p><strong>Author:</strong> Saad ullah Shah</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Saad ullah Shah,,Books,Punjabi Books,true,Title,Default Title,KW-SAA-0036,400,shopify,100,deny,manual,450,550,true,false,,https://media.bookcorner.shop/uploads/60e2f8debae7f1625487582.jpg,1,Tere Nal Mohabbatan Kahdiyan,false,,,,,g,,,,,active
lahore-di-var-duja-praga-maseetan,Lahore di Var Duja Praga: Maseetan,<p><strong>Book Title:</strong> Lahore di Var Duja Praga: Maseetan</p><p><strong>Urdu Title:</strong> لہور دی وار دوجا پراگا: مسیتاں</p><p><strong>Author:</strong> Mudassar Basheer</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Mudassar Basheer,,Books,Punjabi Books,true,Title,Default Title,KW-MUD-0037,400,shopify,100,deny,manual,400,500,true,false,,https://media.bookcorner.shop/uploads/60e9545e98d3d1625904222.jpg,1,Lahore di Var Duja Praga: Maseetan,false,,,,,g,,,,,active
saif-ul-malook-economical-edition,Saif ul Malook (Economical Edition),<p><strong>Book Title:</strong> Saif ul Malook (Economical Edition)</p><p><strong>Urdu Title:</strong> سیف الملوک (اکنامیکل)</p><p><strong>Author:</strong> Miyan Muhammad Bakhsh</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Miyan Muhammad Bakhsh,,Books,Punjabi Books,true,Title,Default Title,KW-MIY-0038,400,shopify,100,deny,manual,500,600,true,false,,https://media.bookcorner.shop/uploads/60ed4ee9887721626164969.jpg,1,Saif ul Malook (Economical Edition),false,,,,,g,,,,,active
saif-ul-malook-o-qissa-badi-ul-jamal,Saif ul Malook o Qissa Badi ul Jamal,<p><strong>Book Title:</strong> Saif ul Malook o Qissa Badi ul Jamal</p><p><strong>Urdu Title:</strong> سیف الملوک و بدیع الجمال</p><p><strong>Author:</strong> Miyan Muhammad Bakhsh</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Miyan Muhammad Bakhsh,,Books,Punjabi Books,true,Title,Default Title,KW-MIY-0039,400,shopify,100,deny,manual,480,600,true,false,,https://media.bookcorner.shop/uploads/60ed4f2aae9101626165034.jpg,1,Saif ul Malook o Qissa Badi ul Jamal,false,,,,,g,,,,,active
tohfa-e-meeran,Tohfa e Meeran,<p><strong>Book Title:</strong> Tohfa e Meeran</p><p><strong>Urdu Title:</strong> تحفۂ میراں</p><p><strong>Author:</strong> Miyan Muhammad Bakhsh</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Miyan Muhammad Bakhsh,,Books,Punjabi Books,true,Title,Default Title,KW-MIY-0040,400,shopify,100,deny,manual,400,500,true,false,,https://media.bookcorner.shop/uploads/60ed4f74b0f3b1626165108.jpg,1,Tohfa e Meeran,false,,,,,g,,,,,active
prince-of-the-believers-hazrat-ali-ra,Prince of the Believers Hazrat Ali (R.A) (Deluxe),<p><strong>Book Title:</strong> Prince of the Believers Hazrat Ali (R.A) (Deluxe)</p><p><strong>Author:</strong> Zohra Umer Qureshi</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Zohra Umer Qureshi,,Books,English Books,true,Title,Default Title,KW-ZOH-0041,400,shopify,100,deny,manual,600,750,true,false,,https://media.bookcorner.shop/uploads/5e08a754c535a1577625428.jpg,1,Prince of the Believers Hazrat Ali (R.A) (Deluxe),false,,,,,g,,,,,active
gulzar-the-speaking-silence,Gulzar - The Speaking Silence,<p><strong>Book Title:</strong> Gulzar - The Speaking Silence</p><p><strong>Author:</strong> Gul Sher Butt</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Gul Sher Butt,,Books,English Books,true,Title,Default Title,KW-GUL-0042,400,shopify,100,deny,manual,1500,1900,true,false,,https://media.bookcorner.shop/uploads/5d7a511b021121568297243.jpg,1,Gulzar - The Speaking Silence,false,,,,,g,,,,,active
living-with-leadership,Living With Leadership,<p><strong>Book Title:</strong> Living With Leadership</p><p><strong>Author:</strong> Prof. Saeed Rashid Alig</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Prof. Saeed Rashid Alig,,Books,English Books,true,Title,Default Title,KW-PRO-0043,400,shopify,100,deny,manual,800,1000,true,false,,https://media.bookcorner.shop/uploads/5f3d2848763601597843528.jpg,1,Living With Leadership,false,,,,,g,,,,,active
the-squeezed-emotions,The Squeezed Emotions,<p><strong>Book Title:</strong> The Squeezed Emotions</p><p><strong>Author:</strong> Aamnah Shahid</p><p>Beautifully printed and bound edition published by Book Corner. Ideal for readers and collectors.</p>,Aamnah Shahid,,Books,English Books,true,Title,Default Title,KW-AAM-0044,400,shopify,100,deny,manual,1095,1350,true,false,,https://media.bookcorner.shop/uploads/5df247a9d369d1576159145.jpg,1,The Squeezed Emotions,false,,,,,g,,,,,active
